Experience_Profile,Total_Students,Placed_Count,Placement_Rate,Avg_Salary_All,Avg_Salary_Placed,Median_Salary_Placed,Std_Salary_Placed,Count_Placed,Placement_Rate_Pct
Both (Hybrid),1545,1519,0.9831715210355987,14.126071197411003,14.37,13.98,3.2965929577957813,1519,98.32
Certification Only,476,333,0.6995798319327731,6.18373949579832,8.84,8.9,2.198915256258827,333,69.96
Internship Only,355,347,0.9774647887323944,12.908591549295775,13.21,12.99,3.2176969911420317,347,97.75
Neither,124,70,0.5645161290322581,4.032338709677419,7.14,6.99,2.0943612010777204,70,56.45
